67.857,70.755,71.995,74.766,76.18,76.609,76.66,76.02,75.364,74.174,73.581,72.695,71.973
0.19005,0.094218,0.15882,1.1618,1.7634,1.7559,2.0782,2.7482,3.1747,3.198,2.9122,2.6388,1.4571
3.7677,4.2108,4.7497,4.5264,3.2313,3.2395,3.0199,3.1065,3.2805,4.0177,4.443,4.8578,4.7264
1.1426,2.1966,2.1809,3.2327,2.2359,2.6728,2.1605,1.2676,2.1653,2.4114,1.3256,1.0094,1.3768
1.5725,2.7458,2.478,2.9783,1.1649,2.4287,2.2549,1.2544,2.6958,2.4817,3.129,1.4061,2.4957
0.35971,0.03867,-1.3505,-2.1934,-1.6791,-0.93313,-0.7515,-1.2516,-0.46318,-0.5063,-0.66355,-0.43304,-0.66299
0.88935,3.2422,1.4261,2.7652,1.9404,2.6908,2.0143,1.0603,1.3542,1.6926,1.5413,2.2866,1.6761
0.66147,1.8789,0.87405,1.1943,1.9018,2.4055,0.44005,1.0698,1.2817,0.56906,0.68684,0.76238,0.41769
0.26299,-0.29236,-1.6094,-0.86608,-0.35479,-0.55716,-0.37496,-1.7798,-0.68564,0.053638,-1.4267,-0.22829,-1.3912
0.11758,1.4836,-0.040608,1.1159,2.1438,0.96404,0.82984,0.76796,0.43799,1.2821,1.3056,1.4237,1.2989
0.31073,0.41246,-0.1339,0.70908,0.63228,-0.56144,0.024336,0.26467,0.48105,0.17388,0.77937,-0.040033,0.060563
0.98847,0.68112,1.1409,1.4927,1.5383,1.4696,1.3598,1.3956,0.86125,1.5957,1.6819,1.8734,0.76425
-0.49607,-1.3629,0.41851,-0.28657,-0.075465,-0.87163,-0.98404,-0.89755,-0.78208,-0.9379,-0.32201,-0.64879,-0.78771
