78.191,82.537,85.446,85.475,85.199,86.388,85.865,82.458,79.083,79.217,79.088,78.859,79.784
-5.4915,-5.7687,-5.8297,-6.6736,-8.7832,-9.837,-9.2619,-8.4834,-6.2574,-5.2077,-4.5169,-4.5124,-4.5133
1.8295,-1.6077,0.30444,-0.8672,-2.8021,-3.2229,-3.552,-3.7813,-2.9119,-1.6105,-0.17755,-1.1298,-0.4016
3.1724,0.55629,2.2234,0.30799,-1.4506,-2.5517,-3.1284,-3.2278,-1.1081,1.8945,2.2561,1.1133,0.15908
-2.5026,-1.7421,-1.2686,-0.26287,3.5865,2.4535,3.1686,3.0812,3.4331,0.56783,-1.0488,-0.98184,-0.74695
-3.2833,-2.9311,-1.6686,-3.1362,-3.0422,-2.1421,-1.4323,-4.3816,-4.5778,-1.039,-1.1829,-0.50033,0.40622
2.012,3.0497,2.9489,1.5013,3.2776,3.1964,2.5183,3.2556,4.4885,3.2881,0.59336,1.3128,0.50361
-0.87198,-0.3661,-1.817,-3.4298,-1.1014,0.38794,-1.3787,-1.5637,-1.5654,-3.5325,-3.9635,-2.8627,-2.4315
1.4768,0.89503,2.3128,2.6778,1.6597,2.3453,1.5927,1.5261,2.8883,1.9013,2.2985,3.6783,3.6966
0.31777,0.42049,-0.28155,-0.31751,1.6378,0.86414,0.95357,0.76143,-1.8524,-1.8818,-2.1213,-0.71354,-0.57905
-1.7525,-0.65163,0.95514,-0.47527,-1.1784,-0.29502,-1.6766,0.029457,-1.5719,-2.5588,-0.94791,-0.33826,0.74677
-2.1001,-0.53429,1.8459,0.64615,1.89,2.0299,0.14944,2.5185,0.82341,0.86936,1.3044,1.9023,0.43356
-1.9211,-1.1738,-2.4433,-4.626,-2.1657,-2.0478,-0.82284,-0.10413,-2.4769,-0.35674,-0.28566,-0.34787,-1.2424
